BoardNum,ChannelNum,ModuleNum,Col,Row
0,62,0,0,0
0,61,0,1,0
0,60,0,2,0
0,59,0,3,0
0,58,0,4,0
0,55,0,0,1
0,54,0,1,1
0,53,0,2,1
0,52,0,3,1
0,51,0,4,1
0,48,0,0,2
0,47,0,1,2
0,46,0,2,2
0,45,0,3,2
0,44,0,4,2
0,41,0,0,3
0,40,0,1,3
0,38,0,2,3
0,37,0,3,3
0,36,0,4,3
0,32,0,0,4
0,31,0,1,4
0,30,0,2,4
0,29,0,3,4
0,28,0,4,4
0,57,1,0,0
0,56,1,1,0
1,54,1,2,0
1,55,1,3,0
1,56,1,4,0
0,50,1,0,1
0,49,1,1,1
1,46,1,2,1
1,47,1,3,1
1,48,1,4,1
0,43,1,0,2
0,42,1,1,2
1,38,1,2,2
1,39,1,3,2
1,40,1,4,2
0,35,1,0,3
0,34,1,1,3
0,33,1,2,3
1,31,1,3,3
1,32,1,4,3
0,27,1,0,4
0,26,1,1,4
0,25,1,2,4
1,24,1,3,4
1,25,1,4,4
1,57,2,0,0
1,58,2,1,0
1,59,2,2,0
1,60,2,3,0
1,61,2,4,0
1,49,2,0,1
1,50,2,1,1
1,51,2,2,1
1,52,2,3,1
1,53,2,4,1
1,41,2,0,2
1,42,2,1,2
1,43,2,2,2
1,44,2,3,2
1,45,2,4,2
1,33,2,0,3
1,34,2,1,3
1,35,2,2,3
1,36,2,3,3
1,37,2,4,3
1,26,2,0,4
1,27,2,1,4
1,28,2,2,4
1,29,2,3,4
1,30,2,4,4
0,24,3,0,0
0,23,3,1,0
0,22,3,2,0
0,21,3,3,0
0,20,3,4,0
0,19,3,0,1
0,18,3,1,1
0,17,3,2,1
0,16,3,3,1
0,15,3,4,1
0,14,3,0,2
0,13,3,1,2
2,14,3,2,2
2,13,3,3,2
2,12,3,4,2
2,19,3,0,3
2,18,3,1,3
2,17,3,2,3
2,16,3,3,3
2,15,3,4,3
2,24,3,0,4
2,23,3,1,4
2,22,3,2,4
2,21,3,3,4
2,20,3,4,4
0,12,4,0,0
0,11,4,1,0
0,10,4,2,0
1,8,4,3,0
1,9,4,4,0
1,10,4,5,0
1,11,4,6,0
0,9,4,0,1
0,8,4,1,1
0,7,4,2,1
0,6,4,3,1
1,5,4,4,1
1,6,4,5,1
1,7,4,6,1
0,5,4,0,2
0,4,4,1,2
0,3,4,2,2
0,2,4,3,2
1,2,4,4,2
1,3,4,5,2
1,4,4,6,2
2,1,4,0,3
2,0,4,1,3
0,1,4,2,3
0,0,4,3,3
3,0,4,4,3
1,0,4,5,3
1,1,4,6,3
2,4,4,0,4
2,3,4,1,4
2,2,4,2,4
3,1,4,3,4
3,2,4,4,4
3,3,4,5,4
3,4,4,6,4
2,7,4,0,5
2,6,4,1,5
2,5,4,2,5
3,5,4,3,5
3,6,4,4,5
3,7,4,5,5
3,8,4,6,5
2,11,4,0,5
2,10,4,1,6
2,9,4,2,6
2,8,4,3,6
3,9,4,4,6
3,10,4,5,6
3,11,4,6,6
1,19,5,0,0
1,20,5,1,0
1,21,5,2,0
1,22,5,3,0
1,23,5,4,0
1,14,5,0,1
1,15,5,1,1
1,16,5,2,1
1,17,5,3,1
1,18,5,4,1
1,12,5,0,2
1,13,5,1,2
3,12,5,2,2
3,13,5,3,2
3,14,5,4,2
3,15,5,0,3
3,16,5,1,3
3,17,5,2,3
3,18,5,3,3
3,19,5,4,3
3,20,5,0,4
3,21,5,1,4
3,22,5,2,4
3,23,5,3,4
3,24,5,4,4
2,32,6,0,0
2,31,6,1,0
2,30,6,2,0
2,29,6,3,0
2,28,6,4,0
2,40,6,0,1
2,39,6,1,1
2,38,6,2,1
2,37,6,3,1
2,36,6,4,1
2,47,6,0,2
2,46,6,1,2
2,45,6,2,2
2,44,6,3,2
2,43,6,4,2
2,54,6,0,3
2,53,6,1,3
2,52,6,2,3
2,51,6,3,3
2,50,6,4,3
2,61,6,0,4
2,60,6,1,4
2,59,6,2,4
2,58,6,3,4
2,57,6,4,4
2,27,7,0,0
2,26,7,1,0
2,25,7,2,0
3,25,7,3,0
3,26,7,4,0
2,35,7,0,1
2,34,7,1,1
2,33,7,2,1
3,32,7,3,1
3,33,7,4,1
2,42,7,0,2
2,41,7,1,2
3,39,7,2,2
3,40,7,3,2
3,41,7,4,2
2,49,7,0,3
2,48,7,1,3
3,47,7,2,3
3,48,7,3,3
3,49,7,4,3
2,56,7,0,4
2,55,7,1,4
3,55,7,2,4
3,56,7,3,4
3,57,7,4,4
3,27,8,0,0
3,28,8,1,0
3,29,8,2,0
3,30,8,3,0
3,31,8,4,0
3,34,8,0,1
3,35,8,1,1
3,36,8,2,1
3,37,8,3,1
3,38,8,4,1
3,42,8,0,2
3,43,8,1,2
3,44,8,2,2
3,45,8,3,2
3,46,8,4,2
3,50,8,0,3
3,51,8,1,3
3,52,8,2,3
3,53,8,3,3
3,54,8,4,3
3,58,8,0,4
3,59,8,1,4
3,60,8,2,4
3,61,8,3,4
3,62,8,4,4